,Date,Russia_Ukraine_Date_Flag,Covid_Flag,US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,Nominal_Broad_US_Dollar_Index,Adjusted_Closing_Price,US_Consumer_Sentiment,Average_Hourly_Earning,CPI_Value_Inflation
72,2019-01-01,0,0,0.016923357739484612,0.07416240148709669,-0.1922333230038662,0.18373452194105905,-0.5386994961462152,-0.020353977146569224,0.050132845074594645
73,2019-02-01,0,0,0.21039850162602602,0.0,-0.0032241527519838997,0.07488171467093394,0.19727023802537424,0.02326168816750815,0.022840899040996843
74,2019-03-01,0,0,0.2222905908483666,0.005704800114392117,0.040350760199083735,0.046490190063768366,0.34901657496797145,-0.008723133062815691,0.014134026415110329
75,2019-04-01,0,0,0.2533929780452574,0.005704800114392006,0.013037735539170425,0.10379486833912387,-0.09104780216555786,-0.031984821230322785,-0.003123541749195352
76,2019-05-01,0,0,-0.14956589137328385,-0.017114400343176128,0.11448456202839119,-0.180492969918981,0.2124448717196341,0.029077110209383875,-0.03131350603569019
77,2019-06-01,0,0,-0.2465321573400606,-0.005704800114392117,-0.05743768421128592,0.1767018444218958,-0.136571703248336,0.0029077110209389107,-0.019248826029419824
78,2019-07-01,0,0,0.0974236540137901,0.011409600228784122,-0.03792993170180048,0.035973775601336785,0.015174633694259754,-0.0058154220418767805,0.014719690493088494
79,2019-08-01,0,0,-0.1298982053517203,-0.15402960308858554,0.21966576072866562,-0.05022542673288678,-0.6525092488531634,0.011630844083753568,-0.017218523892446103
80,2019-09-01,0,0,0.06906559509897803,-0.051343201029528385,0.024273419371844573,0.04683483783623018,0.25796877280241354,-0.020353977146568215,0.008355474179101319
81,2019-10-01,0,0,-0.09147760940261995,-0.11980080240223315,-0.06271357053271487,0.056652641949076,0.17450828748398517,0.005815422041875747,0.015071088939869193
82,2019-11-01,0,0,0.0832446245563842,-0.15973440320297755,-0.02034364396370214,0.09633370980554798,0.09863511901268729,0.017446266125631372,-0.028307097102086953
83,2019-12-01,0,0,0.15779887621951932,0.0,-0.07054055414948696,0.08364694585707039,0.18968292117824492,-0.029077110209384933,-0.003748250099037509
84,2020-01-01,0,0,-0.08507417674443662,0.0,-0.06861908937810302,-0.004899587251761761,0.03793658423564894,0.014538555104692468,0.04806349866575467
85,2020-02-01,0,1,-0.315140364392026,0.017114400343176184,0.1553346859533727,-0.25271065045682817,0.09104780216555786,0.011630844083753561,-0.011322838840836104
86,2020-03-01,0,1,-0.8530287076794312,-0.5305464106384612,0.46885911568426253,-0.3443031246898534,-0.9028907048084465,0.03198482123032279,-0.04958622526848498
87,2020-04-01,0,1,-0.7240452784217375,-0.3422880068635233,0.24543727127820203,0.30537655601093405,-1.312605814553455,0.29658652413572295,-0.045408488178936536
88,2020-05-01,0,1,0.12989820535172036,0.0,-0.07225575999061018,0.12284364387116292,0.03793658423564905,-0.4448797862035845,0.06758563459822713
89,2020-06-01,0,1,0.722215726233685,0.017114400343176128,-0.31908256511478517,0.05214427649308233,0.44006437713352803,-0.014538555104691375,0.05458389206720017
90,2020-07-01,0,1,0.16603186106575518,0.005704800114392117,-0.10683127014236693,0.1591248080263174,-0.4248897434392683,0.09886217471190728,-0.0038653829146318014
91,2020-08-01,0,1,0.08827589307352834,0.005704800114392006,-0.18919371771579907,0.213486008028752,0.12139706955407636,0.029077110209384915,-0.01901456039822902
